keep,place_id,name,rating,review_count,price_level,primary_type,types,areas,queries,address,maps_url
"","ChIJMfIXzup9MEARAHXHyVrkrAg","Euphoria M.B. Şirniyyat","4.4","20","","Sweets and dessert buffet","Sweets and dessert buffet|Sweets and dessert buffet","centre","dessert","9RG8+FQW, Baku 1141, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Euphoria%20M.B.%20%C5%9Eirniyyat&query_place_id=ChIJMfIXzup9MEARAHXHyVrkrAg"
"","ChIJh_ws2npjMEARi067kz6xDO8","Gamarjoba Baku (Bakıxanov filialı)","4.4","20","","Georgian restaurant","Georgian restaurant|Georgian restaurant","centre","Georgian restaurant","Park Plyus T/M, 78 Mukhtar Fataliyev St, Baku 1092, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Gamarjoba%20Baku%20(Bak%C4%B1xanov%20filial%C4%B1)&query_place_id=ChIJh_ws2npjMEARi067kz6xDO8"
"","ChIJaWQqWQB9MEARbVP6Zxwq2EQ","Burger Yiyelim 28 Mall","4.1","20","","Hamburger restaurant","Hamburger restaurant|Hamburger restaurant","centre","burger","9RHW+GMV, 28 May St, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Burger%20Yiyelim%2028%20Mall&query_place_id=ChIJaWQqWQB9MEARbVP6Zxwq2EQ"
"","ChIJ2WUWNBz1MEAR3C3-IhxonMI","Vətən Mərdəkan","3.7","20","","Family restaurant","Family restaurant|Family restaurant","centre","breakfast","G38W+3QV, Azerbaijan","https://www.google.com/maps/search/?api=1&query=V%C9%99t%C9%99n%20M%C9%99rd%C9%99kan&query_place_id=ChIJ2WUWNBz1MEAR3C3-IhxonMI"
"","ChIJT4Irrl6HMEAR15LMD0JxMUY","Restoran Kür (Balıq Evi)","4.8","19","","Restaurant","Restaurant|Restaurant","centre","romantic restaurant","CRF5+3RJ, Mir Jalal, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Restoran%20K%C3%BCr%20(Bal%C4%B1q%20Evi)&query_place_id=ChIJT4Irrl6HMEAR15LMD0JxMUY"
"","ChIJk0zPyh98MEAR8vn3ejWRmG0","Kafe Buta","4.8","19","","Restaurant","Restaurant|Restaurant","centre","steak house","8RRR+W4R, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Kafe%20Buta&query_place_id=ChIJk0zPyh98MEAR8vn3ejWRmG0"
"","ChIJmZFnVhPnOkARCIA1BXFI334","Murat Ailevi Restaurant","4.6","19","","Family restaurant","Family restaurant|Family restaurant","centre","restaurant","WCX2+3XW, Sülh küçəsi, Ələt, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Murat%20Ailevi%20Restaurant&query_place_id=ChIJmZFnVhPnOkARCIA1BXFI334"
"","ChIJhbZlRNNfMEARKro5oqqTk14","BEER QOŞA","4.4","19","","Seafood restaurant","Seafood restaurant|Seafood restaurant","centre","seafood restaurant","Sergey Yesenin, Mardakan, Azerbaijan","https://www.google.com/maps/search/?api=1&query=BEER%20QO%C5%9EA&query_place_id=ChIJhbZlRNNfMEARKro5oqqTk14"
"","ChIJKyCdofxfMEAR1iAYYQOINBA","3 Mertebe Restaurant","3.9","19","","Restaurant","Restaurant|Restaurant","centre","late night restaurant","F5PG+386 Imperial restaurant, Almas İldırım, Mardakan, Azerbaijan","https://www.google.com/maps/search/?api=1&query=3%20Mertebe%20Restaurant&query_place_id=ChIJKyCdofxfMEAR1iAYYQOINBA"
"","ChIJRX8N2Ar0MEAR4polNk8Ga6s","Mirvari Şadlıq Sarayı","3.5","19","","Restaurant","Restaurant|Restaurant","Bilgah, Azerbaijan","restaurant","H25J+XQ3, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Mirvari%20%C5%9Eadl%C4%B1q%20Saray%C4%B1&query_place_id=ChIJRX8N2Ar0MEAR4polNk8Ga6s"
"","ChIJh2JGCU2JOkARL4Yx-kzZi38","Nur Restaurant","4.3","18","","Restaurant","Restaurant|Restaurant","centre","fine dining restaurant","6HGH+X24, Ümid qəsəbəsi, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Nur%20Restaurant&query_place_id=ChIJh2JGCU2JOkARL4Yx-kzZi38"
"","ChIJdywJaKlfMEARQhKZY8xTYlQ","El Restaurant & Club","4.3","18","","Restaurant","Restaurant|Restaurant","centre","restaurant","30 Almas İldırım, Mərdəkan, Azerbaijan","https://www.google.com/maps/search/?api=1&query=El%20Restaurant%20%26%20Club&query_place_id=ChIJdywJaKlfMEARQhKZY8xTYlQ"
"","ChIJqQPZfgDzMEARTc6YK3RiZUk","Chayxona","3.8","18","","Ice cream shop","Ice cream shop|Ice cream shop","centre","dessert","HXR7+7X3, Nardaran, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Chayxona&query_place_id=ChIJqQPZfgDzMEARTc6YK3RiZUk"
"","ChIJV-5zQ4nzMEARpT1vITtz6VY","Balıq Seafood Restaurant","3.7","18","","Seafood restaurant","Seafood restaurant|Seafood restaurant","centre","seafood restaurant","Bilgeh Melilov, Sossesi 1041, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Bal%C4%B1q%20Seafood%20Restaurant&query_place_id=ChIJV-5zQ4nzMEARpT1vITtz6VY"
