keep,place_id,name,establishment_type,rating,review_count,price_level,primary_type,areas,address,maps_url
"","ChIJNYtKrIZhMEARIBTOUTjE17I","Binə sushi house Mahirchef","restaurant","5","2","","Sushi restaurant","centre","Qartal Marketin üzbəüzü, Rizvan Məmmədhüseynov küçəsi, 117 saylı məktəbin arxa girişi, Bakı 1045, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Bin%C9%99%20sushi%20house%20Mahirchef&query_place_id=ChIJNYtKrIZhMEARIBTOUTjE17I"
"","ChIJTWK3kj2LMEARM6xYbzuVGmA","Dastanlar","restaurant","5","2","","Family restaurant","centre","FWCX+F37, Zabrat, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Dastanlar&query_place_id=ChIJTWK3kj2LMEARM6xYbzuVGmA"
"","ChIJNdrGns6PMEARF7T5VFn3b8M","Kubinka Dagli Coreyi restorani","restaurant","5","2","","Restaurant","Novxanı, Azerbaijan","GQHQ+G3W, Binagadi-Novkhany Hwy, Novxanı, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Kubinka%20Dagli%20Coreyi%20restorani&query_place_id=ChIJNdrGns6PMEARF7T5VFn3b8M"
"","ChIJpYqmCACRMEARfkTVLqeQlfU","AİLƏVİ BAĞ MƏKΑΝ RESTORAN","restaurant","5","2","","Restaurant","Novxanı, Azerbaijan","GQXJ+P7V, Nokhany, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=A%C4%B0L%C6%8FV%C4%B0%20BA%C4%9E%20M%C6%8FK%CE%91%CE%9D%20RESTORAN&query_place_id=ChIJpYqmCACRMEARfkTVLqeQlfU"
"","ChIJLRwJaADzMEARXDqXQgOIQt8","Great House","restaurant","5","2","","Restaurant","Nardaran, Azerbaijan","HXGW+45G, Nardaran, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Great%20House&query_place_id=ChIJLRwJaADzMEARXDqXQgOIQt8"
"","ChIJleQHcQCJOkARImgmgBIGwb0","Yalçın Bulutun Məkanı","restaurant","4.5","2","","Buffet restaurant","centre","5 Baku-Alat-Gazakh-Georgia Hwy, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Yal%C3%A7%C4%B1n%20Bulutun%20M%C9%99kan%C4%B1&query_place_id=ChIJleQHcQCJOkARImgmgBIGwb0"
"","ChIJmzjQ0dV9MEARor480o3DZ6M","Balik fush burger","cafe_coffee","4","2","","Cafe","centre","9RGW+VG5, Dilara Aliyeva, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Balik%20fush%20burger&query_place_id=ChIJmzjQ0dV9MEARor480o3DZ6M"
"","ChIJ8ZnRYwCHMEARa2RpqbFuJGo","Qutab evi","restaurant","3.5","2","","Family restaurant","centre","1, Bakı, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Qutab%20evi&query_place_id=ChIJ8ZnRYwCHMEARa2RpqbFuJGo"
"","ChIJQZTiSun1MEARbY3hfA3Plos","Xazri Restaurant & Sport Lounge","lounge_hookah","3","2","","Restaurant","centre","14, 16 Güloğlan Məmmədov, Bakı 1090, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Xazri%20Restaurant%20%26%20Sport%20Lounge&query_place_id=ChIJQZTiSun1MEARbY3hfA3Plos"
"","ChIJjWkXBDuLMEARwUncHqvuHIY","Friends Game and Karaoke","restaurant","3","2","","Restaurant","centre","FWQV+82F, Xavər Vəliyev, Zabrat, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Friends%20Game%20and%20Karaoke&query_place_id=ChIJjWkXBDuLMEARwUncHqvuHIY"
"","ChIJiazB69tjMEARvQTg560z-5A","Sushi Art Baku","","3","2","","Sushi takeaway","centre","61 Şirin Mirzəyev, Bakı 1147, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Sushi%20Art%20Baku&query_place_id=ChIJiazB69tjMEARvQTg560z-5A"
"","ChIJ6yNg7dFfMEAR6xJ6h_PTWdk","Dolmabahçe restaurant","restaurant","3","2","","Azerbaijani restaurant","Mardakan, Azerbaijan","Mardakan, Hacı Zeynalabdin Tagiyev, Baku 1044, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Dolmabah%C3%A7e%20restaurant&query_place_id=ChIJ6yNg7dFfMEAR6xJ6h_PTWdk"
"","ChIJxSEmHJ9ZMEAR5bM9IbpP3V4","Pubilion Pub","bar_pub","2","2","","Pub","centre","Mərdəkan, 37A şosesi, Bakı, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Pubilion%20Pub&query_place_id=ChIJxSEmHJ9ZMEAR5bM9IbpP3V4"
"","ChIJhdZWdwB9MEARDx-a8Rzc40A","İveriya Gürcü restoranı","restaurant","5","1","","Georgian restaurant","centre","9RFQ+589, Baku 1005, Azerbaijan","https://www.google.com/maps/search/?api=1&query=%C4%B0veriya%20G%C3%BCrc%C3%BC%20restoran%C4%B1&query_place_id=ChIJhdZWdwB9MEARDx-a8Rzc40A"
"","ChIJTwAgcwCJOkAR4SiaQyUwG2k","Sebeer Cafe","cafe_coffee","5","1","","Cafe","centre","6HFH+C5W, Ümid qəsəbəsi, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Sebeer%20Cafe&query_place_id=ChIJTwAgcwCJOkAR4SiaQyUwG2k"
"","ChIJN4zzEqKJOkAR9pP3enaDjpU","Cay evi","cafe_coffee","5","1","","Coffee shop","centre","Qızıldaş yolu, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Cay%20evi&query_place_id=ChIJN4zzEqKJOkAR9pP3enaDjpU"
"","ChIJ48JPCgCJOkARQJI4cRXQMR0","PAŞAM dönər","quick_bites","5","1","","Fast food restaurant","centre","6HGG+8CQ, Qəsəbə, Azerbaijan","https://www.google.com/maps/search/?api=1&query=PA%C5%9EAM%20d%C3%B6n%C9%99r&query_place_id=ChIJ48JPCgCJOkARQJI4cRXQMR0"
"","ChIJyfDXVEmJOkARal1_xsSu0oc","Çay-kafe","dessert_bakery","5","1","","Ice cream shop","centre","6HGM+7WR, B. Əliyev, Azerbaijan","https://www.google.com/maps/search/?api=1&query=%C3%87ay-kafe&query_place_id=ChIJyfDXVEmJOkARal1_xsSu0oc"
"","ChIJhagrwFmJOkAR66MBV9ysYnk","RAİL CAKE HOUSE","dessert_bakery","5","1","","Dessert restaurant","centre","Qəsəbə, Azerbaijan","https://www.google.com/maps/search/?api=1&query=RA%C4%B0L%20CAKE%20HOUSE&query_place_id=ChIJhagrwFmJOkAR66MBV9ysYnk"
"","ChIJ7WFDKAB9MEARj29Z8S2mLgk","Bakery House (hezz)","dessert_bakery","5","1","","Bakery","centre","9RFF+QC6, ул. Мирза Ага Алиева, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Bakery%20House%20(hezz)&query_place_id=ChIJ7WFDKAB9MEARj29Z8S2mLgk"
"","ChIJf3RcOgB9MEARmLbR0k-nSlA","Istanbul Kebab","restaurant","5","1","","Asian restaurant","centre","9R9Q+QJF, Abdulkarim Ali-Zadeh St, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Istanbul%20Kebab&query_place_id=ChIJf3RcOgB9MEARmLbR0k-nSlA"
"","ChIJY_SHSgCHMEAR8JeYlByCw4o","Qutab evi ailəvi restoran","restaurant","5","1","","Family restaurant","centre","3a Yeni Yasamal 2, Bakı, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Qutab%20evi%20ail%C9%99vi%20restoran&query_place_id=ChIJY_SHSgCHMEAR8JeYlByCw4o"
"","ChIJRZC5WQDpOkARKQ-vO9I56CE","restoran","quick_bites","5","1","","Fast food restaurant","centre","XCQH+6C3, Sychlijar, Azerbaijan","https://www.google.com/maps/search/?api=1&query=restoran&query_place_id=ChIJRZC5WQDpOkARKQ-vO9I56CE"
"","ChIJ3ytKDADnOkARiL3PMoOxcl4","Gazi anteplinin yeri Resturant","restaurant","5","1","","Turkish restaurant","centre","W8XM+2M, Pirsaat, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Gazi%20anteplinin%20yeri%20Resturant&query_place_id=ChIJ3ytKDADnOkARiL3PMoOxcl4"
"","ChIJB0RkTs1jMEARUi44pkD-oB4","isti qutab","dessert_bakery","5","1","","Bakery","centre","CVFR+H4, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=isti%20qutab&query_place_id=ChIJB0RkTs1jMEARUi44pkD-oB4"
"","ChIJC4ytXgB9MEARv-6p0D98idU","Koz Halil usta","restaurant","5","1","","Turkish restaurant","centre","9RM7+M68, Hasan Majidov St, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Koz%20Halil%20usta&query_place_id=ChIJC4ytXgB9MEARv-6p0D98idU"
"","ChIJKxtNTJZ9MEAR-BcI_yhK-7A","Pazmen İsanın Kafesi","restaurant","5","1","","Turkish restaurant","centre","9R49+27J, Abbasgulu Abbaszadeh, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Pazmen%20%C4%B0san%C4%B1n%20Kafesi&query_place_id=ChIJKxtNTJZ9MEAR-BcI_yhK-7A"
"","ChIJD4OwfACHMEARricvcgP58RE","Miraj","restaurant","5","1","","Turkish restaurant","centre","42a Jafar Khandan St, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Miraj&query_place_id=ChIJD4OwfACHMEARricvcgP58RE"
"","ChIJw0FNOSjzMEAR1VkBC97GIHc","Papa’s Burger","quick_bites","5","1","","Fast food restaurant","centre","HXRJ+XC, Nardaran, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Papa%E2%80%99s%20Burger&query_place_id=ChIJw0FNOSjzMEAR1VkBC97GIHc"
"","ChIJdStJSgD1MEAR5vGq_gbqB4g","Kabab Evi","quick_bites","5","1","","Kebab shop","centre","G2H7+3MV, Nardaran, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Kabab%20Evi&query_place_id=ChIJdStJSgD1MEAR5vGq_gbqB4g"
"","ChIJo_0hApr1MEAR39fEgWd5-FA","Pizza Art & Modern Kafe","restaurant","5","1","","Restaurant","centre","G39J+CGG, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Pizza%20Art%20%26%20Modern%20Kafe&query_place_id=ChIJo_0hApr1MEAR39fEgWd5-FA"
"","ChIJmzNfZgBfMEARnEW8vD_SAIw","Rasim Coffee","cafe_coffee","5","1","","Coffee shop","centre","F5RH+327, Mardakan, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Rasim%20Coffee&query_place_id=ChIJmzNfZgBfMEARnEW8vD_SAIw"
"","ChIJFV_LBwCTMEAR4xhUbLPvAoo","Puerxana Novxanı","","5","1","","Chinese tea house","centre","Novxanı, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Puerxana%20Novxan%C4%B1&query_place_id=ChIJFV_LBwCTMEAR4xhUbLPvAoo"
"","ChIJZwQVfgBfMEARcOdYVr0wdhE","Elçin çayxana","tea_house","5","1","","Tea house","centre","F5RH+852, Mardakan, Azerbaijan","https://www.google.com/maps/search/?api=1&query=El%C3%A7in%20%C3%A7ayxana&query_place_id=ChIJZwQVfgBfMEARcOdYVr0wdhE"
"","ChIJL1EJAQD1MEARlssB8ZVTfAs","Bacook Bakery","dessert_bakery","5","1","","Bakery","centre","G2M3+7RW, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Bacook%20Bakery&query_place_id=ChIJL1EJAQD1MEARlssB8ZVTfAs"
"","ChIJlxJIBwD1MEARR7sCdksmVoY","İsti tendir","dessert_bakery","5","1","","Bakery","centre","G2G9+45V, Azerbaijan","https://www.google.com/maps/search/?api=1&query=%C4%B0sti%20tendir&query_place_id=ChIJlxJIBwD1MEARR7sCdksmVoY"
"","ChIJrQuZPwBZMEARCV_ktmzM0QY","Milla Ice Cream (Khazar Beach Mardakan)","dessert_bakery","5","1","","Ice cream shop","centre","G55M+FP, Mardakan, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Milla%20Ice%20Cream%20(Khazar%20Beach%20Mardakan)&query_place_id=ChIJrQuZPwBZMEARCV_ktmzM0QY"
"","ChIJbfrkBABfMEARJwrqeFRVCWE","AĞ_ŞAM","bar_pub","5","1","","Bar","centre","F3QC+R96, Azerbaijan","https://www.google.com/maps/search/?api=1&query=A%C4%9E_%C5%9EAM&query_place_id=ChIJbfrkBABfMEARJwrqeFRVCWE"
"","ChIJn1KfQ3ZfMEARrED0Hc-JE4I","Güneş Kafe","bar_pub","5","1","","Bar","centre","F4WJ+VHQ, Heybətqulu Məmmədbəyli, Mərdəkan, Azerbaijan","https://www.google.com/maps/search/?api=1&query=G%C3%BCne%C5%9F%20Kafe&query_place_id=ChIJn1KfQ3ZfMEARrED0Hc-JE4I"
"","ChIJBQtVTwCLMEAR40zVStAUNuo","FIRTINA CLUB","bar_pub","5","1","","Bar","centre","GW5J+G75, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=FIRTINA%20CLUB&query_place_id=ChIJBQtVTwCLMEAR40zVStAUNuo"
"","ChIJXWqJPQDzMEARpAtONss22cs","Brezza Food & Bar","bar_pub","5","1","","Restaurant","centre","HWMM+8J, Nardaran, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Brezza%20Food%20%26%20Bar&query_place_id=ChIJXWqJPQDzMEARpAtONss22cs"
"","ChIJRW_-TABfMEARWr1XhxqwdI4","Draft Baku Pub","bar_pub","5","1","","Restaurant","centre","21 Malik Musayev, Mardakan, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Draft%20Baku%20Pub&query_place_id=ChIJRW_-TABfMEARWr1XhxqwdI4"
"","ChIJcaTubADzMEARYEP-BCXgeHY","Bounty Resto Pub","bar_pub","5","1","","Bar","centre","HXRG+Q3, Nardaran, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Bounty%20Resto%20Pub&query_place_id=ChIJcaTubADzMEARYEP-BCXgeHY"
"","ChIJQ7fu53dfMEARqfcvFF3bNbc","Pub Chef surac","bar_pub","5","1","","Brewery","centre","71 Baba Eliyev, Mardakan, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Pub%20Chef%20surac&query_place_id=ChIJQ7fu53dfMEARqfcvFF3bNbc"
"","ChIJK_XIiiaNMEARbMpVOQmAwyE","RACO PUB","bar_pub","5","1","","Restaurant","centre","HV6Q+5XF, Unnamed Road, Kürdəxanı, Azerbaijan","https://www.google.com/maps/search/?api=1&query=RACO%20PUB&query_place_id=ChIJK_XIiiaNMEARbMpVOQmAwyE"
"","ChIJdQsKfwDzMEART0D4Ub8KYXI","Psp lounge 046","lounge_hookah","5","1","","Internet cafe","centre","GXXR+74C, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Psp%20lounge%20046&query_place_id=ChIJdQsKfwDzMEART0D4Ub8KYXI"
"","ChIJTzNCXwCNMEARDFhyRS_JNzI","Azza","dessert_bakery","5","1","","Bakery","centre","HV4Q+966, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Azza&query_place_id=ChIJTzNCXwCNMEARDFhyRS_JNzI"
"","ChIJHdkFRwBfMEARWUsnN1l2cJI","Bərəkət","dessert_bakery","5","1","","Bakery","centre","G486+HRP, Mardakan, Azerbaijan","https://www.google.com/maps/search/?api=1&query=B%C9%99r%C9%99k%C9%99t&query_place_id=ChIJHdkFRwBfMEARWUsnN1l2cJI"
"","ChIJwanVg0T1MEARdZ-YuusYzS8","“Fırıncı Baba 1”","dessert_bakery","5","1","","Bakery","centre","Nəriman Əliyev, 9 2 Döngə, Bakı, Azerbaijan","https://www.google.com/maps/search/?api=1&query=%E2%80%9CF%C4%B1r%C4%B1nc%C4%B1%20Baba%201%E2%80%9D&query_place_id=ChIJwanVg0T1MEARdZ-YuusYzS8"
